first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Tom,Cleverley,1,0,25,470,7,33.4,97.4,40,2,87,17.2,3,0,2,0,50,388
Etienne,Capoue,1,3,79,2944,48,219.2,656.6,152,8,496,102.8,8,1,14,0.5,48,389
Abdoulaye,Doucouré,5,7,124,3061,56,544.1,735.6,709,14,550,198.9,5,0,7,2.8,58,390
Roberto,Pereyra,6,4,122,2817,53,512.7,458.4,744,13,432,171.8,6,0,3,8,59,391
Will,Hughes,2,4,87,2419,39,416,429.2,451,5,320,129.6,7,0,5,0.7,49,392
Gerard,Deulofeu,10,5,133,2064,29,455.6,549.2,856,10,344,185.6,9,0,3,7.2,57,394
Andre,Gray,7,2,83,1352,23,183.9,331.8,620,10,254,112.8,4,0,2,1.9,59,395
Troy,Deeney,9,5,116,2542,44,549.5,607.4,1019,13,411,216.9,5,1,4,3.7,58,396
Stefano,Okaka,0,0,1,22,1,24.7,3.2,26,0,-1,5.2,0,0,1,0.1,50,397
Jerome,Sinclair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,398
Ben,Foster,0,0,129,3420,59,50,988,1,11,703,104.1,7,0,1,8.5,46,445
Ken,Sema,1,2,37,747,9,112.7,128.6,169,1,91,40.8,3,0,1,0.1,46,446
Domingos,Quina,1,0,17,334,5,40.2,69,22,2,68,13.1,0,0,0,0.1,44,517
Isaac,Success Ajayi,1,1,42,1033,21,274.5,148.6,394,0,125,81.4,2,0,4,2.4,45,524
Ben,Wilmot,0,0,1,26,2,0.3,7.2,0,0,8,0.8,0,0,0,0.1,40,544
Adalberto,Peñaranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,554
Adrián,San Miguel del Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,42,399
Lukasz,Fabianski,0,0,143,3420,55,20,1136,0,15,742,115.5,7,0,0,14.3,47,400
Winston,Reid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,401
Aaron,Cresswell,0,1,34,1588,26,290.9,318.2,113,0,257,72.3,1,0,1,0.5,50,402
Angelo,Ogbonna,1,1,48,1871,36,54.2,462.4,168,2,314,68.5,2,0,2,0.8,42,403
Sam,Byram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,404
Pablo,Zabaleta,0,1,56,2089,35,163.2,447.4,106,4,350,71.8,4,0,4,1.7,43,405
Declan,Rice,2,0,92,3003,47,174.2,584.4,213,9,586,97.1,6,0,4,4.2,44,406
Reece,Oxford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,407
Ryan,Fredericks,1,0,38,1084,16,77.2,254.8,85,4,169,42,3,0,5,0.3,45,408
Issa,Diop,1,0,87,2970,43,52.3,733,162,6,561,94.8,7,0,4,1.4,42,409
Arthur,Masuaku,0,2,49,1757,29,212,434.4,55,0,311,70.3,4,0,2,1.5,42,410
Mark,Noble,5,5,99,2289,31,359.8,521.4,196,5,454,107.6,7,1,6,0.5,48,411
Pedro,Obiang,0,2,43,1116,21,105.9,219.2,112,1,188,43.6,2,0,0,0.8,42,413
Manuel,Lanzini,1,2,31,685,12,118.2,141,165,3,148,42.4,2,0,2,0.1,64,414
Michail,Antonio,6,8,118,2093,30,346.2,482,852,6,305,167,7,0,3,1.2,68,415
Edimilson,Fernandes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,416
Marko,Arnautovic,10,5,117,1988,34,500.6,551.6,946,15,405,199.2,4,0,3,6.7,67,417
Andy,Carroll,0,0,12,454,7,51.4,41.8,169,0,10,25.8,0,0,2,0.1,54,418
Javier,Hernández Balcázar,7,4,86,1326,20,112,301,528,10,276,93.4,6,0,2,1.5,61,419
Jordan,Hugill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,420
Jack,Wilshere,0,2,17,388,10,74,72,17,0,90,16.3,1,0,2,0.8,48,447
Andriy,Yarmolenko,2,1,27,456,6,84.6,86,122,2,88,29.1,1,0,2,0.5,67,453
Fabián,Balbuena,1,0,61,2013,32,40.9,534.6,201,3,375,77.8,5,0,2,0.3,42,464
Felipe Anderson,Pereira Gomes,9,6,155,3045,49,1042.4,882.2,799,18,619,272.2,7,0,3,8.2,68,465
Robert,Snodgrass,2,5,85,2215,33,976,460.8,380,9,364,181.5,5,0,10,0.9,50,489
Lucas,Pérez,3,0,33,465,13,110.5,136.8,131,5,127,37.7,0,0,0,0.1,62,502
Carlos,Sánchez,0,0,9,240,4,28.8,24.6,24,0,44,7.8,0,0,0,0.1,43,518
Grady,Diangana,0,1,25,600,13,174.5,115,175,0,86,46.2,2,0,0,0,45,539
Joe,Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,547
Conor,Coventry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,548
Alexandre Nascimento,Costa Silva,0,0,1,17,0,10.3,2,36,0,3,4.8,0,0,0,0.2,45,560
